1408.603432937164 1.0  0.0 inf
1408.6164021659326 1.0  0.0 inf
1408.6293665292446 1.0  0.0 inf
1408.6423260280742 1.0  0.0 inf
1408.6552806633954 1.0  0.0 inf
1408.6682304361818 1.0  0.0 inf
1408.681175347407 1.0  0.0 inf
1408.6941153980451 1.0  0.0 inf
1408.70705058907 1.0  0.0 inf
1408.7199809214555 1.0  0.0 inf
1408.7329063961754 1.0  0.0 inf
1408.7458270142035 1.0  0.0 inf
1408.7587427765136 1.0  0.0 inf
1408.7716536840794 1.0  0.0 inf
1408.784559737875 1.0  0.0 inf
1408.797460938874 1.0  0.0 inf
1408.8103572880502 1.0  0.0 inf
1408.823248786378 1.0  0.0 inf
1408.8361354348306 1.0  0.0 inf
1408.849017234382 1.0  0.0 inf
1408.861894186006 1.0  0.0 inf
1408.8747662906767 1.0  0.0 inf
1408.8876335493676 1.0  0.0 inf
1408.900495963053 1.0  0.0 inf
1408.9133535327055 1.0  0.0 inf
1408.926206259301 1.0  0.0 inf
1408.939054143811 1.0  0.0 inf
1408.951897187211 1.0  0.0 inf
1408.9647353904743 1.0  0.0 inf
1408.9775687545746 1.0  0.0 inf
1408.990397280486 1.0  0.0 inf
1409.003220969182 1.0  0.0 inf
1409.016039821637 1.0  0.0 inf
1409.028853838824 1.0  0.0 inf
1409.0416630217176 1.0  0.0 inf
1409.0544673712911 1.0  0.0 inf
1409.0672668885186 1.0  0.0 inf
1409.080061574374 1.0  0.0 inf
1409.0928514298307 1.0  0.0 inf
1409.105636455863 1.0  0.0 inf
1409.1184166534445 1.0  0.0 inf
1409.1311920235491 1.0  0.0 inf
1409.1439625671503 1.0  0.0 inf
1409.156728285223 1.0  0.0 inf
1409.1694891787397 1.0  0.0 inf
1409.182245248675 1.0  0.0 inf
1409.1949964960024 1.0  0.0 inf
1409.207742921696 1.0  0.0 inf
1409.2204845267297 1.0  0.0 inf
1409.2332213120765 1.0  0.0 inf
1409.245953278711 1.0  0.0 inf
1409.2586804276073 1.0  0.0 inf
1409.2714027597383 1.0  0.0 inf
1409.284120276079 1.0  0.0 inf
1409.2968329776018 1.0  0.0 inf
1409.309540865282 1.0  0.0 inf
1409.3222439400922 1.0  0.0 inf
1409.334942203007 1.0  0.0 inf
1409.3476356549995 1.0  0.0 inf
1409.3603242970448 1.0  0.0 inf
1409.3730081301155 1.0  0.0 inf
1409.385687155186 1.0  0.0 inf
1409.3983613732305 1.0  0.0 inf
1409.4110307852216 1.0  0.0 inf
1409.4236953921338 1.0  0.0 inf
